LOG HH_CLint (uL/min/1E6 cells),canonical_smiles
0.505149978319906,COc1ccnc(CCc2nc3cc(Br)cnc3[nH]2)c1
0.5105450102066121,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12
0.5185139398778875,Cc1nc(CSc2nc(N[C@H](C)CO)c3sc(=O)[nH]c3n2)cs1
0.5198279937757188,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1
0.5198279937757188,CC(C)(C)NC(=O)NCCN1CC(NC(=O)c2cc(Cl)cc(Cl)c2)C1
0.5198279937757188,Cn1cnc2c(-c3ccc(C4(N)CCC4)cc3)c(-c3ccccc3)ccc21
0.5301996982030822,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCC(=O)N4CCOCC4)nn3c2)c1
0.5314789170422551,O=C(CC1CCCCCC1)Nc1cccc2c(=O)n([C@H]3CCNC3)ccc12
0.5390760987927766,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
0.5403294747908738,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
0.5403294747908738,CC(=O)C[C@H](c1ccccc1)c1c(O)c2ccccc2oc1=O
0.5502283530550941,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1
0.5705429398818975,NC(=O)c1ccn2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nc2c1
0.5705429398818975,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
0.5705429398818975,C[C@@H](c1ccc(-c2ccc(F)cc2F)cc1)N1CC[C@](CCO)(c2ccc(F)cc2)OC1=O
0.5797835966168101,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1
0.5809249756756193,O=C(O)CCn1c2c(c3ccccc31)C[C@H](NS(=O)(=O)c1ccc(F)cc1)CC2
0.5899496013257077,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
0.5921767573958668,COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1
0.5998830720736879,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
0.5998830720736879,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1
0.5998830720736879,N=C(N)N1CCc2ccccc2C1
0.6063813651106049,Cc1c(Cc2ccc3ccccc3n2)c2cc(F)ccc2n1CC(=O)O
0.6201360549737576,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
0.6304278750250238,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1
0.6304278750250238,COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1C(=O)N(C)C
0.6493348587121419,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CN2CCNCC2)ccc1Cl
