pchembl_value,canonical_smiles
5.5,CC[C@@H]1Cc2cc(O)ccc2C2=C1c1ccc(O)cc1C[C@H]2CC
5.4,C/C=C/OC(=O)NC(c1ccccc1)[C@]1(C(C)=O)CCCC1=O
7.4,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1
6.8,CCCCCCN(C(=O)CCCCCN1C(=O)NC(c2ccc(-c3ccccc3)cc2)C(C(=O)OCc2ccccc2)=C1C)C(C(=O)NCCCC)c1ccc(OCC(=O)OC)c(C(=O)OC)c1
4.8,COc1ccc(/C=C\C(=O)Nc2ccccc2C(=O)O)cc1OC
5.1,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1
5.4,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1
5.7,CCN(CCO)CCO.Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
5.1,O=C(Nc1ccc2ccccc2c1)[C@@H]1C[C@H]1[C@@H](NP(=O)(c1ccccc1)c1ccccc1)c1ccccc1
4.9,O=c1c(CCc2ccccc2)nc2cnc(Oc3ccccc3)nc2n1C[C@H]1CCCO1
4.6,C=C(C)[C@@H]1[C@H]2OC(=O)[C@@H]1[C@]1(O)C[C@H]3O[C@]34C(=O)O[C@H]2[C@@]14C.CC(C)(O)[C@@H]1[C@H]2OC(=O)[C@@H]1[C@]1(O)C[C@H]3O[C@]34C(=O)O[C@H]2[C@@]14C
4.8,NCCn1c(=O)c(CCc2ccccc2)nc2cncnc21
4.9,COC(=O)[C@@]1(Cc2ccc(F)cc2)[C@H]2c3cc(C(=O)N(C)C)n(Cc4ccc(OC(F)(F)F)cc4)c3C[C@H]2CN1C(=O)c1ccccc1
4.9,O=C(CCCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1
5.0,C[C@@H](C(=O)NCc1ccccc1)[C@H]1C[C@]1(C)[C@H](NC(=O)OCc1ccccc1)c1ccccc1
6.2,Cc1ccc(OP(=O)(Oc2ccc(C)cc2)N2C=Cc3ccccc3[C@H]2C#N)cc1
4.5,Ic1cncc(OC[C@@H]2CCN2)c1
4.6,COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c2ccnc(OCc3ncccn3)c2c(=O)n1Cc1ccnc(C)c1
5.2,CC(=O)N[C@@H](c1ccccc1)[C@]1(C)C[C@H]1[C@@H](C)C(=O)Nc1ccc2ccccc2c1
4.5,COC(=O)/C=C\C(=O)N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@@H]1O5
5.7,O=C(CC(=O)c1ccncc1)c1ccccc1
5.0,O[C@@H](Cc1ccncc1)C(Cl)(Cl)Cl
5.0,COc1cc2c(CCNC(C)=O)c[nH]c2cc1Cl
5.1,COc1ccc(OC)c2c(=S)c3ccccc3[nH]c12
6.5,COC(=O)C1=C(C)N(Cc2ccccc2)C2=C3C(=O)N(c4ccccc4)C(=O)C3[C@@](O)(C(=O)OC)C(=O)N2C1c1ccccc1
5.1,COc1ccc(-c2nc3cnc(N4CCNCC4)nc3n(C3CC3)c2=O)cc1
4.5,CC(=O)N1CCC2(CCCN(C(c3ccccc3)c3ccccc3)C2)CC1
5.4,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](C)CO
5.1,O=C(O)c1cc(/N=N\c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
4.4,NCCC[C@@H](CC(=O)N[C@@H]1CCNC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)Cc1c[nH]c2ccccc12)NC(=O)C[C@H](CO)NC(=O)[C@@H]1CNCC[C@H]1N
5.4,COc1ccc(-c2ccc3c(n2)CCCN3C[C@H](O)CN2CCCc3nc(-c4ccc(Br)cc4)ccc32)cc1
4.7,COc1ccc(Oc2ncc3ncc(=O)n(C[C@H]4CCCO4)c3n2)cc1
5.5,C[C@@H]1O[C@H]1P(=O)([O-])[O-].[Na+].[Na+]
5.4,Cc1cc2c(nc1C)CCCN2C[C@H](O)CN1CCCc2nc(-c3ccc(Br)cc3)ccc21
4.6,CCCCN1CCC(CCC(=O)c2cc(Cl)c(N)cc2OC)CC1
5.4,O=C(N[C@@H](c1ccccc1)[C@@H]1C[C@H]1C(=O)NCc1ccccc1)OCc1ccccc1
5.9,COc1ccc2c(c1OC)C(=O)O[C@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C
6.7,COCCn1c(C(=O)N2CCCC2)cc2c1C[C@H]1CN(C(=O)c3ccccc3)[C@@](Cc3ccccc3)(C(=O)OC)[C@@H]21
5.3,O=S(=O)(NCCCCCCc1ccccc1)c1cccc2c(Cl)cccc12
5.1,O=C(c1ccco1)N1CCC2(CCN(Cc3ccncc3)CC2)CC1
5.5,COc1ccc(OC2C=CC(c3ccccc3)OC2CO)c(C(C)(C)C)c1
4.8,Clc1ccc([C@@H](c2ccccc2Cl)C(Cl)Cl)cc1
5.0,CCCc1c(OCCCOc2ccc(OCC(=O)O)cc2)ccc(C(C)=O)c1O
5.6,C/C(CCN1CCCCc2nc(C)c(C)cc21)=N\O[C@@H](C)c1cc(-c2c(C)cc(C)cc2C)no1
4.5,CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CCCC[C@H]1NC(=O)C[C@@H](NC(=O)C[C@H](CO)NC(=O)[C@@H]1CNCC[C@H]1N)C(C)C
5.4,COc1cc(CNC(=O)CCCC/C=C\C(C)C)ccc1O
5.5,CC(CCC(=O)O)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1
5.9,Cc1cc(O)c(-c2cc(O)c(C)cc2O)cc1O
4.9,C#CCCCCCCCCCCCCCCCC(=O)O
4.8,O=C(O)c1ccccc1Nc1ccccc1
4.4,C[C@]1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O
5.4,CCCC[C@@H]1C[C@H]1C(NC(=O)c1ccccc1)c1ccc(C(F)(F)F)cc1
5.5,COC(=O)N(/C=C/c1ccc(OC)cc1)CCc1ccc(OC)c(OC)c1
5.2,CC(C)C[C@H](NC(=O)N1CCCCCC1)C(=O)N[C@H](Cc1cn(C)c2ccccc12)C(=O)N[C@H](Cc1ccccn1)C(=O)O
5.1,Cc1nc2cncnc2n(C2CC2)c1=O
5.1,COCCn1c(=O)c(-c2ccc(OC)cc2)nc2cnc(Oc3ccccc3)nc21
4.4,NCCC[C@@H](CC(=O)N[C@@H]1CCCC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)Cc1ccccc1)NC(=O)C[C@H](CO)NC(=O)[C@@H]1CCCC[C@H]1N
4.6,Oc1ccc2c3c1O[C@H]1c4[nH]c5ccccc5c4C[C@]4(O)[C@H](C2)N(CC2CC2)CC[C@@]314
4.4,Cc1nc2cnc(Oc3cccc(Cl)c3)nc2n(CCC#N)c1=O
5.4,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
5.2,C[C@@H]1Oc2ccc(C(=O)C[C@@H](C(=O)O)c3ccc4c(c3)OCO4)cc2O1
5.5,COC(=O)[C@@]1(Cc2ccc(F)cc2)[C@H]2c3cc(C(=O)N4CCCC4)n(CCc4ccc(O)c(O)c4)c3C[C@H]2CN1C(=O)c1ccccc1
4.4,CC(=O)N1CCC2(CCCN(c3ccc(-c4ccccc4)cc3)C2)CC1
4.9,N[C@@H](CO)C(=O)NNCc1ccc(O)c(O)c1O
4.7,O=C(c1cccc(F)c1)N1CCC[C@@]2(CCN(c3cccc(-c4ccccc4)c3)C2)C1
5.5,CCC/C=C(\CCC)C(NS(=O)(=O)c1ccc(-c2ccccc2)cc1)c1ccc(C(=O)OC)cc1
