LOG HLM_CLint (mL/min/g),canonical_smiles
0.47712125471966244,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O
0.47712125471966244,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1
0.47712125471966244,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
0.47712125471966244,Cc1cc(C)nc(SCC(N)=O)n1
0.47712125471966244,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1
0.47712125471966244,CC(=O)Nc1ccc(O)cc1
0.47712125471966244,COc1cc(C(=O)OCCCCNC(=N)N)cc(OC)c1O
0.47712125471966244,CNCCC(Oc1ccccc1OC)c1ccccc1
0.47712125471966244,O=C(Nc1ccc(F)cc1)c1ccc(Cl)[n+]([O-])c1
0.47712125471966244,COc1cc(NC(C)CCCN)c2ncccc2c1
0.47712125471966244,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(N)nn3c2)c1
0.47712125471966244,CNC(=O)Nc1nc2ccc(-c3cncc(S(=O)(=O)NC(C)(C)C)c3)cn2n1
0.47712125471966244,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
0.47712125471966244,CCN(C(=O)NCc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1
0.47712125471966244,C[C@@H](C(=O)NCCN1CCCC1)c1ccc(OS(=O)(=O)C(F)(F)F)cc1
0.47712125471966244,CS(=O)(=O)c1ccc2c(C(=O)NC[C@@H](O)CN3CCC(Oc4ccc(C#N)c(Cl)c4)CC3)c[nH]c(=O)c2c1
0.47712125471966244,O=C(O)[C@@H](Cc1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1
0.47712125471966244,O=C(O)c1ccccc1CN1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1
0.47712125471966244,COc1ccnc(CCc2nc3c(C)ccnc3[nH]2)c1
0.47712125471966244,CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)ccc3F)cn12
0.47712125471966244,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1
0.47712125471966244,CCOc1ccc(NC(=O)CCc2c(C)nc3nc(C)nn3c2C)cc1
0.47712125471966244,O=C(O)[C@@H](c1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1
0.47712125471966244,Clc1ccc2ncc(-c3cccc(NC4CNC4)n3)n2c1
0.47712125471966244,Cc1cc(Cl)ccc1OC1CCN(C[C@H](O)CNC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1
0.47712125471966244,C[C@@H](C(N)=O)c1ccc(OS(=O)(=O)C(F)(F)F)cc1
0.47712125471966244,Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C2CCN(CC(F)(F)F)CC2)cc1
0.47712125471966244,CCc1nc2c(N)nc3ccccc3c2n1CC(C)C
0.47712125471966244,Cc1ccccc1S(=O)(=O)NC(=O)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1
0.47712125471966244,N#CN=C(N)c1sc(Nc2ccccc2)nc1N
0.47712125471966244,Fc1cc(-c2cccc3ncc(-c4cnn(C5CCNCC5)c4)nc23)cc(F)c1CN1CCOCC1
0.47712125471966244,O=C(O)C(c1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1
0.47712125471966244,Cc1c(Cl)ccc(OC2CCN(C[C@H](O)CNC(=O)c3c[nH]c(=O)c4ccc(S(C)(=O)=O)cc34)CC2)c1Cl
0.47712125471966244,CC(C)(O)c1ccc(Nc2nc3ccc(C#N)cc3[nH]2)cc1
0.47712125471966244,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)cc1
0.47712125471966244,CS(=O)(=O)c1ccc(-c2nnc(/C=C/c3nnc(-c4ccc(C#N)cc4)o3)n2-c2ccccc2Cl)nc1
0.47712125471966244,Cc1ccc2c(c1)c(-c1ccnc3c(S(C)(=O)=O)cccc13)c(C)n2CC(=O)O
0.47712125471966244,CCc1ccc(OCC(=O)O)c(-c2ccc(S(C)(=O)=O)cc2)c1
