pchembl_value,canonical_smiles
4.9,C[C@@H](C(=O)O)c1ccc(C(=O)c2ccccc2)s1
5.3,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@H]2c3cccc4[nH]cc(c34)C[C@@H]21
5.9,CC(C)(C(=O)c1cccnc1)c1cccnc1
4.5,CCC/C=C(\CCC)C(NS(C)(=O)=O)c1ccccc1
5.6,C=CC[C@@H]1C=C[C@H](O/N=C(\C)CCN2CCCc3nc(C)c(C)cc32)[C@H](CO)O1
4.8,c1ccc(C(c2ccccc2)N2CC3(CCNCC3)C2)cc1
5.3,CCCCOC(OCCCC)[C@H](O)CSc1ccc2ccccc2c1
4.5,CCC1OC(=O)C(C)C(=O)C(C)[C@@H](OC2OC(C)CC(N(C)C)C2O)C(C)(OC)C2(CCCn3cnc(-c4cccnc4)c3)CC(C)C(=O)C(C)C3N(C2)C(=O)O[C@]13C
5.4,CC(CCc1nc2ccccc2s1)(c1ccc(O)cc1)c1ccc(O)cc1
4.8,c1ccc(Nc2ncnc3ccc(-c4ccoc4)cc23)cc1
4.8,O=c1c(-c2cc(F)cc(F)c2)nc2cnc(N3CCNCC3)nc2n1CCc1ccccc1
5.5,COCCn1c(=O)c(-c2cn(C)c3ccccc23)nc2cnc(Oc3ccccc3)nc21
4.9,CCCn1c(C)nc2c(NC3CCCCC3)nc(C)nc21
6.3,CCCCCCCCCCCC(CC1OC(=O)C1CCCCCC)OC(=O)C(CC(C)C)NC=O
4.4,CNc1ccnc(-c2c(C)noc2C)n1
5.4,O=C1O/C(=C\Br)CC[C@@H]1c1cccc2ccccc12
5.2,COc1ccc(CNc2cc(-c3ccccc3Cl)ncn2)c(OC)c1
4.6,COc1ccc(C(=O)N2CCC3(CCCN(CC(C)C)C3)CC2)cc1
5.5,CN(C)c1ncc2ncc(=O)n(Cc3ccc(F)cc3)c2n1
4.5,COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3CN1CC2
5.1,C[C@@H](C(=O)Nc1ccc2ccccc2c1)[C@@H]1C[C@@]1(C)[C@@H](N)c1ccccc1
5.4,CCc1cc2c(nc1CC)CCN(CC/C(C)=N/O[C@@H](C)c1cc(-c3c(C)cc(C)cc3C)no1)C2
5.5,CCCCNC(=O)C(c1ccc(OCC(=O)OC)c(C(=O)OC)c1)N(CCOC)C(=O)CCCCCN1C(=O)NC(c2ccc(-c3ccccc3)cc2)C(C(=O)OCc2ccccc2)=C1C
4.5,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
5.5,CON(C)C(=O)c1nnc2c3ccccc3n(S(=O)(=O)c3ccc(C)cc3)c2n1
4.8,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1
4.8,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1.Cl
4.8,Cn1c(N)c(C(=O)COC(=O)c2ccnc3ccccc23)c(=O)n(C)c1=O
5.4,COc1ccc(Oc2ncc3nc(-c4ccccc4)c(=O)n(C4CC4)c3n2)cc1
5.9,COC(=O)[C@@]1(Cc2ccccc2)[C@H]2c3cc(C(=O)N4CCCC4)n(Cc4ccc(OC)c(OC)c4)c3C[C@H]2CN1C(=O)c1ccccc1
5.3,CC(=O)[C@@]1(O)CC[C@H]2[C@H]3C[C@@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C
4.4,CC(CCC(=O)O)C1CCC2C3C(O)C[C@@H]4CC(O)CC[C@@]4(C)C3CC[C@@]12C
5.4,COc1ccc2c(=O)cc(-c3ccncc3)oc2c1OC
6.2,C[C@@H](C(=O)Nc1ccc2ccccc2c1)[C@H]1C[C@]1(C)[C@H](NC(=O)c1cnccn1)c1ccccc1
5.4,CC(=O)OC[C@H]1O[C@@H](O/N=C(\C)CCN2CCCc3nc(C)c(C)cc32)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O
5.8,CC(C)CC(N)C1(c2ccc(Cl)cc2)CCC1.Cl
5.1,O=C(Nc1ccccc1)OC[C@H](CN1CCCCC1)OC(=O)Nc1ccccc1
6.0,C[C@@H](C(=O)Nc1ccc2ccccc2c1)[C@@H]1C[C@@]1(C)[C@@H](NC(=O)c1cnccn1)c1ccccc1
4.8,CCC(=O)N[C@@H]1Cc2ccccc2[C@@H](c2ccccc2)C1
5.8,CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O[C@H]1OC(=O)c2ccccc21
5.9,COC(=O)[C@@]1(Cc2ccc(F)cc2)[C@H]2c3cc(C(=O)N(C)C)n(Cc4ccccc4)c3C[C@H]2CN1C(=O)c1ccccc1
5.2,CC(=O)N1[C@H](Cc2ccccc2)C=C[C@]1(C)C(=O)NCc1cc(F)cc(C(F)(F)F)c1
5.1,COc1cccc(Cn2c(=O)c(-c3cc(F)cc(F)c3)nc3cnc(OC)nc32)c1
5.0,O=[N+]([O-])c1ccc2nc(N3CCNCC3)ccc2c1
4.8,COC(=O)CN1CN(c2ccccc2)C2(CCN(Cc3ccc4ccccc4c3)CC2)C1=O
4.6,O=C(c1cccc(F)c1)N1CCC2(CC1)CN(c1ncccn1)C2
