pchembl_value,canonical_smiles
5.4,NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O
4.4,O=C(O)c1cccnc1SCc1ccccc1
5.7,Cc1ccc2[nH]c(/C(C#N)=C\c3ccc(OC(=O)c4cccs4)cc3)nc2c1
4.85,CCOC(=O)Cc1c(C)nc2c(-c3ccccc3)c(-c3ccccc3)nn2c1O
4.6,COc1ccc(C(=O)N2CCC3(CCN(Cc4nccs4)CC3)CC2)cc1
5.05,CCOC(=O)COc1cc(OCC(=O)OCC)c2c(=O)cc(-c3ccccc3)oc2c1
4.65,COC(=O)C1(S(=O)(=O)c2ccc(C)cc2)CCOCC1
5.5,C=C(C)CNCC(=C)C.Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
4.8,CC(C)Nc1nc(Oc2ccc(Cl)cc2)cc(C(F)(F)F)n1
4.9,COc1ccc(C(=O)NC(C)c2cc(OC)c(OC)cc2Br)cc1
8.0,CN1CCN(c2ccc([N+](=O)[O-])c(N/N=C3\CN4CCC3CC4)c2)CC1
5.85,O=C(NC1CCCCC1)C1CC=CCC1C(=O)OCC(Cl)=C(Cl)Cl
6.1,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)[C@H]1c1cccc([N+](=O)[O-])c1
5.0,C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1
4.45,CCn1c(SCc2cccc(C)c2)nnc1-c1ccccc1
5.65,COc1ccc(NC(=O)c2ccc3c(=O)n(Cc4ccco4)c(=S)[nH]c3c2)c(OC)c1
4.6,CC(=O)NCCn1c(SCC(=O)NCc2ccco2)nc2ccccc2c1=O
6.05,CCOC(=O)C1(N(CC)CC)Sc2cc(C)ccc2NC1=O
4.8,O=S(=O)(Nc1cccnc1Cl)c1ccc2c(c1)OCCO2
4.05,Cc1ccc(C(=O)N/N=C\c2cccn2C)cn1
5.0,Cn1cnnc1SCC(=O)N1N=C2/C(=C/c3ccco3)CCCC2C1c1ccco1
6.05,Cc1ccccc1C(C(=O)NC1CCCC1)N(C(=O)Cc1cccs1)c1ccc2c(c1)OCCO2
4.6,Cn1c(=O)c(-c2cc(F)cc(F)c2)nc2cnc(N3CCNCC3)nc21
4.7,CC[C@H]1C2=C3C(CC[C@H]4C(OCc5ccc(F)cc5C(F)(F)F)OC[C@](C)([C@@H]34)N(C(=O)OC(C)(C)C)C2)C2COC(=O)OCC21
4.75,Cc1cccc(Nc2nc3c(c(=O)n(C)c(=O)n3C)n2CC(O)CO)c1
