log_pct_unbound,canonical_smiles
1.9333354100776512,CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H]1C(=O)N(C)CCc2ccccc21
1.885417765110936,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1
1.8515640822634885,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F
1.826851947820644,C[C@@]1(c2cc(-c3cncnc3)c(F)cc2F)CCSC(N)=N1
1.7137424784090824,Cc1cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)c3c(F)cccc32)cn(C)c1=O
1.708845638048179,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
1.6679196853173615,N#Cc1ccc2ccc(=O)n(CCN3CC[C@@H](NCc4ccc5c(n4)NC(=O)CO5)[C@@H](F)C3)c2c1
1.5689054149828787,C1Cc2[nH]nc(-c3nn[nH]n3)c2C1
1.5561818466529111,COc1ccc2ncc(F)c(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2n1
1.5561818466529111,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)[C@H](O)[C@@H]1O
1.543322900646912,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC(C)C)cc1C21N=C(C)C(N)=N1
1.5301996982030823,c1ccc([C@@H]([C@H](c2ccccc2)N2CCCC2)N2CCCC2)cc1
1.4827307000799428,CCOc1ccc([C@@H](C)Nc2nc(N3CCN(C(C)=O)CC3)nc3c2CN(C(C)C)C3=O)cc1
1.4328090050331683,c1ccc([C@H]([C@@H](c2ccccc2)N2CCCC2)N2CCCC2)cc1
1.4255342204982635,O=C(c1c2ccccc2cc2ccccc12)N1CCC(N2CCC[C@@H](C(=O)N3CCOCC3)C2)CC1
1.4181354984252321,c1ccc([C@@H]([C@H](c2ccccc2)N2CCCCC2)N2CCCCC2)cc1
1.4181354984252321,C[C@@H]1CN(C(=O)[C@@H]2CN(C(C)(C)C)C[C@H]2c2ccc(F)cc2F)C[C@H](C)[C@@]1(O)c1ccccc1
1.4032921451582543,c1ccc([C@H]([C@@H](c2ccccc2)N2CCCCC2)N2CCCCC2)cc1
1.395850376018781,CN1C(=N)N[C@](C)(c2cc(-c3cccc(C#N)c3)cs2)CC1=O
1.3653007486379873,CCc1c(C(=O)C(N)=O)c2c(OCC(=O)OC)cccc2n1Cc1ccccc1
1.3422252293607904,CCc1c(C(=O)C(N)=O)c2c(OCC(=O)O)cccc2n1Cc1ccccc1
1.318689269947746,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c(C)c1
1.3027637084729817,C[C@@H](CC(=O)OC(C)(C)C)NC(=O)C1=NOC(C(O)(C(F)(F)F)C(F)(F)F)C1
1.294686624279443,N#Cc1ccc(C[C@@H](C(=O)O)N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1
1.294686624279443,Cc1[nH]c(C(=O)NC2CCN(c3ncc(C(=O)O)s3)CC2)c(Cl)c1Cl
1.2785249647370174,c1ccc2[nH]c(CCc3nc4ccccc4[nH]3)nc2c1
1.2785249647370174,CC(CC(=O)OC(C)(C)C)NC(=O)C1=NOC(C(O)(C(F)(F)F)C(F)(F)F)C1
1.2785249647370174,Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12
1.2785249647370174,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1
1.262213705476417,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1
1.254064452914338,CC(C)NC[C@@H](O)COc1cccc2ccccc12
1.254064452914338,O=C1N(c2ccccc2)c2ccccc2C1(Cc1ccncc1)Cc1ccncc1
1.229425847920695,O=P(c1ccccc1)(c1ccccc1)N(Cc1ccccn1)c1cccnc1
1.229425847920695,CS(=O)(=O)N1CCC(NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1
1.229425847920695,CC#Cc1cncc(-c2csc([C@]3(C)CC(=O)N(C)C(=N)N3)c2)c1
1.2041199826559248,c1cncc(Nc2ncc(-c3ccncn3)c(-c3ccco3)n2)c1
1.2041199826559248,COc1c(C)cc(C2(c3cccc(-c4cncnc4)c3)N=C(C)C(N)=N2)cc1C
1.1875207208364633,O=C(O)[C@H](Cc1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1
1.1875207208364633,Cc1cc(N2CCC[C@@H]2C(=O)NCCc2ccc3c(c2)OCO3)nc(-n2ccnc2)n1
1.1789769472931693,Cc1cc(C)c(S(=O)(=O)NCc2ccncc2)c(C)c1
1.1445742076096164,C[C@H](CN(C(=O)c1ccc(C#N)cc1)c1ccccn1)N1CCN(c2cccc3c2OCCO3)CC1
1.1360860973840976,O=c1cc(OCc2ccccc2)ccn1-c1ccc2c(cnn2CCN2CCCC2)c1
1.110252917353403,CCCN(c1ccon1)P(=O)(c1ccccc1)c1ccccc1
1.0927206446840991,CCCN(c1cccnc1)P(=O)(c1ccccc1)c1ccccc1
1.0751818546186915,CC(C)(C)CCN1CC[C@H](CNC(=O)c2cc(Cl)cc(Cl)c2)[C@H](F)C1
1.0394141191761372,CCC(CC)[C@@H](CO)NS(=O)(=O)c1ccc(Cl)s1
